EmployeeID,Department,JobRole,Age,Gender,TenureYears,PerformanceScore,ActiveStatus
EMP-10000,Customer Success,Implementation Consultant,38,Male,1.9,4,1
EMP-10001,Sales,Account Executive,58,Male,2.3,4,1
EMP-10002,Finance,Controller,31,Female,2.2,3,1
EMP-10003,Customer Success,Support Specialist,44,Male,2.4,3,1
EMP-10004,Customer Success,Support Specialist,45,Male,4.0,3,1
EMP-10005,HR,People Operations Analyst,49,Female,6.8,2,1
EMP-10006,Sales,Sales Manager,30,Male,2.2,1,1
EMP-10007,Finance,FP&A Manager,35,Female,5.2,4,1
EMP-10008,Engineering,QA Analyst,48,Female,4.9,3,1
EMP-10009,Operations,Supply Chain Manager,45,Female,2.6,3,1
EMP-10010,Engineering,Data Engineer,30,Female,0.7,4,1
EMP-10011,Engineering,Engineering Manager,34,Male,2.0,3,1
EMP-10012,Customer Success,Implementation Consultant,33,Female,6.2,2,1
EMP-10013,Finance,FP&A Manager,45,Female,1.1,4,0
EMP-10014,Engineering,QA Analyst,57,Female,0.9,3,1
EMP-10015,Engineering,Software Engineer,46,Male,0.9,2,1
EMP-10016,Finance,Controller,45,Male,2.4,3,1
EMP-10017,Engineering,Data Engineer,23,Male,1.4,4,1
EMP-10018,Customer Success,Implementation Consultant,55,Female,2.5,3,1
EMP-10019,Operations,Operations Analyst,45,Male,7.5,3,1
EMP-10020,Marketing,Campaign Manager,49,Female,2.1,3,0
EMP-10021,Operations,Operations Analyst,54,Female,2.8,2,1
EMP-10022,Sales,Sales Operations Analyst,38,Female,3.4,4,1
EMP-10023,Sales,Sales Operations Analyst,41,Female,1.8,3,1
EMP-10024,Finance,Controller,53,Male,10.1,4,1
EMP-10025,Customer Success,Support Specialist,22,Female,3.9,3,1
EMP-10026,Engineering,Engineering Manager,49,Female,2.1,2,1
EMP-10027,Customer Success,Implementation Consultant,44,Male,5.7,2,1
EMP-10028,Engineering,QA Analyst,39,Female,11.2,4,1
EMP-10029,Finance,Financial Analyst,28,Female,1.7,2,1
EMP-10030,Operations,Process Lead,47,Female,6.3,4,1
EMP-10031,Operations,Operations Analyst,53,Male,5.5,4,1
EMP-10032,Finance,Financial Analyst,40,Male,4.7,4,1
EMP-10033,Engineering,QA Analyst,24,Male,0.6,2,0
EMP-10034,Customer Success,Implementation Consultant,44,Male,3.9,3,0
EMP-10035,Marketing,Marketing Analyst,52,Male,3.6,2,1
EMP-10036,Finance,Financial Analyst,29,Male,2.2,3,1
EMP-10037,Operations,Supply Chain Manager,56,Female,3.3,3,1
EMP-10038,Engineering,Engineering Manager,44,Nonbinary,6.8,1,0
EMP-10039,Customer Success,Support Specialist,25,Male,3.5,4,1
EMP-10040,Operations,Operations Analyst,40,Female,9.1,3,1
EMP-10041,Engineering,QA Analyst,32,Female,7.8,3,0
EMP-10042,Operations,Supply Chain Manager,59,Male,6.4,2,1
EMP-10043,HR,Recruiter,38,Female,4.0,4,1
EMP-10044,Engineering,QA Analyst,59,Male,3.9,3,1
EMP-10045,Finance,Financial Analyst,23,Female,8.6,4,1
EMP-10046,Engineering,Software Engineer,48,Female,7.6,4,1
EMP-10047,Customer Success,CS Manager,49,Female,4.0,3,1
EMP-10048,Operations,Supply Chain Manager,51,Female,1.0,2,1
EMP-10049,Finance,Financial Analyst,39,Female,2.4,3,1
EMP-10050,Marketing,Marketing Analyst,31,Male,6.9,4,1
EMP-10051,Customer Success,Support Specialist,40,Male,1.5,2,1
EMP-10052,Marketing,Marketing Analyst,40,Female,1.9,2,1
EMP-10053,Engineering,QA Analyst,35,Female,0.8,1,1
EMP-10054,Engineering,Data Engineer,23,Female,3.3,1,1
EMP-10055,HR,People Operations Analyst,37,Female,7.5,2,1
EMP-10056,Operations,Operations Analyst,28,Male,4.9,3,1
EMP-10057,Operations,Supply Chain Manager,57,Male,3.6,1,0
EMP-10058,Marketing,Marketing Analyst,29,Female,3.0,2,1
EMP-10059,Finance,Financial Analyst,35,Female,1.8,1,1
EMP-10060,Sales,Sales Manager,50,Male,5.3,3,1
EMP-10061,Engineering,QA Analyst,25,Female,4.3,3,0
EMP-10062,Finance,Financial Analyst,57,Male,2.0,2,1
EMP-10063,HR,Recruiter,37,Male,5.0,3,0
EMP-10064,Marketing,Campaign Manager,37,Male,2.2,4,1
EMP-10065,Finance,Controller,39,Male,3.1,3,1
EMP-10066,Customer Success,Support Specialist,36,Female,2.7,3,1
EMP-10067,Operations,Process Lead,30,Male,0.8,2,0
EMP-10068,HR,HR Business Partner,31,Female,2.7,3,1
EMP-10069,Customer Success,CS Manager,47,Female,2.4,3,1
EMP-10070,Engineering,Engineering Manager,48,Male,0.5,2,1
EMP-10071,Engineering,QA Analyst,44,Female,2.6,3,1
EMP-10072,Engineering,QA Analyst,52,Female,3.2,2,1
EMP-10073,Engineering,QA Analyst,41,Female,2.7,2,0
EMP-10074,Customer Success,CS Manager,29,Male,3.6,3,1
EMP-10075,Marketing,Marketing Analyst,41,Male,4.0,4,1
EMP-10076,Finance,Controller,25,Male,4.7,4,1
EMP-10077,Operations,Operations Analyst,42,Female,8.0,3,1
EMP-10078,Customer Success,CS Manager,57,Male,0.2,4,1
EMP-10079,Marketing,Content Strategist,31,Male,1.3,3,1
EMP-10080,Operations,Process Lead,48,Female,3.1,3,1
EMP-10081,Engineering,Engineering Manager,44,Female,5.7,4,1
EMP-10082,Operations,Process Lead,26,Female,0.8,3,1
EMP-10083,Engineering,QA Analyst,43,Male,2.1,3,0
EMP-10084,Engineering,Software Engineer,56,Female,9.0,3,0
EMP-10085,Customer Success,CS Manager,54,Male,7.6,3,1
EMP-10086,Engineering,Data Engineer,24,Male,1.4,1,0
EMP-10087,Engineering,Data Engineer,44,Male,5.9,1,1
EMP-10088,Finance,Controller,24,Male,3.8,3,1
EMP-10089,Finance,FP&A Manager,31,Male,5.9,2,1
EMP-10090,Sales,Sales Manager,32,Male,4.7,3,1
EMP-10091,Customer Success,Support Specialist,54,Male,5.0,3,1
EMP-10092,Customer Success,Support Specialist,51,Male,1.9,2,1
EMP-10093,Engineering,Engineering Manager,59,Male,1.3,4,0
EMP-10094,Customer Success,Support Specialist,44,Female,2.4,3,1
EMP-10095,Marketing,Content Strategist,56,Female,2.3,2,1
EMP-10096,Operations,Supply Chain Manager,52,Female,1.4,2,1
EMP-10097,Engineering,Engineering Manager,34,Female,3.9,4,1
EMP-10098,Finance,FP&A Manager,34,Female,0.7,3,1
EMP-10099,Finance,Financial Analyst,44,Female,3.9,2,1
EMP-10100,Sales,Sales Operations Analyst,58,Male,3.7,2,0
EMP-10101,Engineering,Data Engineer,55,Male,2.0,3,1
EMP-10102,Sales,Sales Operations Analyst,24,Female,1.7,4,1
EMP-10103,HR,HR Business Partner,35,Female,4.2,2,1
EMP-10104,Engineering,Engineering Manager,52,Female,0.5,3,1
EMP-10105,Sales,Sales Manager,37,Female,1.6,3,1
EMP-10106,Sales,Account Executive,40,Male,3.9,2,1
EMP-10107,Sales,Sales Operations Analyst,42,Male,6.6,4,1
EMP-10108,Operations,Process Lead,42,Female,0.7,1,1
EMP-10109,Finance,FP&A Manager,55,Male,4.0,2,1
EMP-10110,Operations,Operations Analyst,34,Female,1.8,3,1
EMP-10111,Engineering,Data Engineer,25,Female,0.8,3,0
EMP-10112,Customer Success,Support Specialist,50,Male,1.1,3,1
EMP-10113,Customer Success,Implementation Consultant,26,Female,8.8,1,0
EMP-10114,Engineering,Engineering Manager,39,Female,4.1,2,1
EMP-10115,Customer Success,CS Manager,22,Male,2.9,3,0
EMP-10116,Operations,Process Lead,35,Male,3.2,4,1
EMP-10117,Sales,Account Executive,54,Male,4.1,1,1
EMP-10118,Finance,Financial Analyst,24,Male,2.6,3,1
EMP-10119,Finance,FP&A Manager,45,Male,1.5,2,0
EMP-10120,Sales,Sales Manager,41,Female,3.0,2,1
EMP-10121,Marketing,Campaign Manager,48,Female,2.4,3,1
EMP-10122,Finance,Financial Analyst,41,Female,3.7,2,1
EMP-10123,Engineering,Data Engineer,42,Female,8.5,3,0
EMP-10124,Marketing,Campaign Manager,47,Female,4.0,3,1
EMP-10125,Sales,Sales Manager,46,Male,1.0,1,1
EMP-10126,Customer Success,Implementation Consultant,28,Female,6.8,2,1
EMP-10127,Engineering,Software Engineer,50,Female,3.3,3,0
EMP-10128,Engineering,Engineering Manager,38,Male,5.4,3,0
EMP-10129,HR,People Operations Analyst,43,Male,2.3,4,0
EMP-10130,Customer Success,CS Manager,30,Female,7.9,4,1
EMP-10131,Engineering,QA Analyst,35,Female,1.9,3,1
EMP-10132,Engineering,Data Engineer,38,Male,5.4,3,1
EMP-10133,HR,Recruiter,45,Male,5.2,2,1
EMP-10134,Finance,Financial Analyst,44,Male,4.1,3,1
EMP-10135,Marketing,Marketing Analyst,26,Female,7.5,3,1
EMP-10136,Sales,Sales Manager,57,Male,2.6,4,1
EMP-10137,Finance,Controller,39,Male,3.5,2,1
EMP-10138,Engineering,Data Engineer,47,Female,1.2,3,1
EMP-10139,Marketing,Content Strategist,34,Female,6.7,2,1
EMP-10140,Engineering,Engineering Manager,46,Male,2.5,3,0
EMP-10141,Customer Success,CS Manager,35,Female,0.7,3,1
